Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Mol. weight [kDa],Peptides,Valid values,Valid values 15 min,Valid values unstim,Myd88 15 min 1 neu,MyD88 15 min 2 neu,MyD88 15 min 3 neu,MyD88 15 min 4 neu,MyD88 unstim 2 neu,MyD88 unstim 3 neu,MyD88 unstim 4 neu
,0.7070006278,-0.9413749377,Q9CQL5,Q9CQL5,"39S ribosomal protein L18, mitochondrial",Mrpl18,,20.677,2,10,4,3,13.25388622,15.13198566,14.58648586,14.51328564,15.84288597,15.79098606,14.30448532
+,0.8791049629,1.222344875,Q9CQM9,Q9CQM9,Glutaredoxin-3,Glrx3,,37.778,2,10,4,2,12.89488602,14.03548527,13.00218582,13.41248608,11.2668457,NaN,12.96098614
,0.8295901795,-0.480749925,Q9CQN1,Q9CQN1,"Heat shock protein 75 kDa, mitochondrial",Trap1,,80.208,7,12,4,4,14.53368568,15.06918526,14.73588562,14.45018578,15.65858555,14.7098856,15.16548538
,0.8903724004,-0.7035255432,Q9CQQ4,Q9CQQ4,Gem-associated protein 2,Gemin2,,30.44,5,11,4,3,16.32178497,16.93748665,15.91778564,16.28798485,16.57518578,17.75348663,16.88068581
,0.6272983565,0.5195500851,Q9CQQ7,Q9CQQ7,"ATP synthase F(0) complex subunit B1, mitochondrial",Atp5f1,,28.948,3,11,4,3,13.86668587,15.23788548,14.67478561,14.22838593,13.63298607,14.30318546,14.01098537
,0.5631964761,-0.5863420169,Q9CQR2,Q9CQR2,40S ribosomal protein S21,Rps21,,9.1413,2,10,4,3,16.398386,16.93328476,15.41928577,15.9978857,17.12498665,17.11538506,16.08028603
,0.6199561704,-0.6276254654,Q9CQS2,Q9CQS2,H/ACA ribonucleoprotein complex subunit 3,Nop10,,7.7059,4,9,4,3,16.53568649,17.7468853,16.90368652,17.86398506,18.21598625,18.22038651,17.23418617
+,2.033892713,-1.289908886,Q9CQS5,Q9CQS5,Serine/threonine-protein kinase RIO2,Riok2,,62.49,11,12,4,4,17.20078659,17.60858536,17.50108528,17.93278503,19.36028671,18.89618492,18.29568672
+,2.03191962,-1.286875248,Q9CQT2,Q9CQT2,RNA-binding protein 7,Rbm7,,30.148,6,12,4,4,15.13298607,16.13538551,15.95598602,15.88768578,17.3854866,17.12808609,16.68108559
+,1.770596269,-0.9606918494,Q9CQV5,Q9CQV5,"28S ribosomal protein S24, mitochondrial",Mrps24,,18.901,2,11,4,3,15.87798595,15.02188587,15.42968559,15.64388561,16.05298615,16.67748642,16.63168526
,0.237584098,-0.29768308,Q9CQV8,Q9CQV8,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",Ywhab,,28.086,7,12,4,4,16.20438576,17.06908607,16.03668594,17.27598572,17.56988525,17.09328651,16.16948509
,0.006836174313,-0.009333292643,Q9CQW2;Q8VEH3,Q9CQW2;Q8VEH3,ADP-ribosylation factor-like protein 8B;ADP-ribosylation factor-like protein 8A,Arl8b;Arl8a,,21.539,2,8,3,4,13.99298573,NaN,13.72398567,14.52278614,14.80818558,13.95278549,13.50678635
,0.4466586417,-0.7582500776,Q9CQY5,Q9CQY5,Magnesium transporter protein 1,Magt1,,37.969,4,11,4,3,15.71888542,17.07168579,15.94768524,16.74388504,18.2176857,15.63838577,17.53028488
+,1.857594683,1.467083534,Q9CR00,Q9CR00,26S proteasome non-ATPase regulatory subunit 9,Psmd9,,24.72,3,10,4,3,13.78638554,14.11118603,12.80878639,13.64938641,12.64468575,11.92198563,11.7988863
,1.008402817,-0.2458003362,Q9CR02,Q9CR02,Translation machinery-associated protein 16,Tma16,,25.782,1,9,2,3,NaN,NaN,13.30128574,13.23388577,13.61768627,13.36128616,13.56118584
,0,-2.235699415,Q9CR11,Q9CR11,YEATS domain-containing protein 4,Yeats4,,26.529,2,7,4,1,14.22898579,12.09788609,13.01568604,13.95778561,15.56078529,NaN,NaN
+,3.469781072,-1.956116994,Q9CR47,Q9CR47,Ribosome biogenesis protein NSA2 homolog,Nsa2,,30.036,10,12,4,4,19.34548569,18.9900856,18.66828537,18.61788559,21.0804863,20.8650856,20.63908577
+,2.252095937,-1.546167215,Q9CR57,Q9CR57,60S ribosomal protein L14,Rpl14,,23.564,9,12,4,4,25.73798561,25.9574852,25.72898483,25.88468552,27.51158524,27.96858597,26.64018631
,1.543508433,-0.7053252856,Q9CR62,Q9CR62,Mitochondrial 2-oxoglutarate/malate carrier protein,Slc25a11,,34.155,8,12,4,4,17.84158516,18.05028534,17.3263855,18.05078506,18.72588539,18.57538605,18.26648521
,0.006675928139,0.01128339767,Q9CR67,Q9CR67,Transmembrane protein 33,Tmem33,,28.031,1,8,4,3,14.50318527,12.55898571,12.90508556,13.45128632,13.82628536,12.79428577,13.40948582
+,2.07867844,-2.657366037,Q9CR80,Q9CR80,Protein FAM32A,Fam32a,,13.215,5,11,4,3,16.00278664,16.97328568,16.03808594,14.85538578,19.22078514,18.88098526,17.77248573
,0.9891232115,-0.7011253834,Q9CR88,Q9CR88,"28S ribosomal protein S14, mitochondrial",Mrps14,,14.92,1,9,4,3,15.22238541,15.67618561,14.81658554,15.2478857,16.40398598,16.13978577,15.2818861
,1.710391224,-0.7271340688,Q9CRA8,Q9CRA8,Exosome complex component RRP46,Exosc5,,25.194,4,11,4,3,17.68558502,17.84438515,17.45388603,17.22008514,18.12538528,18.61568642,18.09328651
+,2.629426111,-1.509033839,Q9CRB2,Q9CRB2,H/ACA ribonucleoprotein complex subunit 2,Nhp2,,17.247,4,12,4,4,18.84788513,18.93058586,19.74358559,19.09588623,20.68468666,20.88608551,20.41978645
,0.4354404266,-0.5726838112,Q9CRB9,Q9CRB9,MICOS complex subunit Mic19,Chchd3,,26.334,5,11,4,3,16.5199852,17.09578514,16.04358482,16.17878532,18.24158669,16.47568512,16.37938499
,0.1845560714,-0.1363168557,Q9CRT8,Q9CRT8,Exportin-T,Xpot,,109.73,4,11,4,3,11.55658627,11.84598637,12.34208584,12.48588562,12.35498619,12.33968639,11.88718605
+,3.52987523,-1.904200554,Q9CS00,Q9CS00,Cactin,Cactin,,90.66,19,12,4,4,17.42028618,17.98588562,17.4187851,17.30378532,19.47368622,19.64718628,19.18828583
+,1.665133037,-1.702024937,Q9CS72,Q9CS72,Filamin-A-interacting protein 1,Filip1,,137.6,6,11,4,3,14.03288555,12.23018551,13.37638569,13.38918591,14.54608536,15.58078575,14.75068569
,0.02009820612,-0.05040812492,Q9CS74,Q9CS74,Protein SGT1 homolog,Ecd,,71.709,4,10,4,3,12.68128586,15.31528568,12.6707859,13.95108604,13.07788563,13.39458561,14.64258575
+,2.527104502,-1.891824961,Q9CSH3,Q9CSH3,Exosome complex exonuclease RRP44,Dis3,,108.84,7,12,4,4,13.32508564,13.21618557,12.14808559,13.08848572,15.04918575,14.96968555,14.48998547
+,1.444851034,-1.45385011,Q9CSN1,Q9CSN1,SNW domain-containing protein 1,Snw1,,61.475,18,12,4,4,18.27698517,19.58748627,18.50218582,18.61268616,21.0532856,20.02898598,19.51378632
+,2.730887269,-2.465334098,Q9CTH6,Q9CTH6,rRNA-processing protein FCF1 homolog,Fcf1,,23.34,6,11,4,3,16.97958565,17.82738495,18.1816864,17.84128571,20.71058655,20.2434864,19.56438637
+,2.015328263,-1.516725222,Q9CU62,Q9CU62,Structural mainte1000ce of chromosomes protein 1A,Smc1a,,143.23,23,12,4,4,15.5902853,15.93148613,14.91798592,15.52008533,17.29288483,17.38108635,16.3460865
,1.285356418,-0.9109251499,Q9CU65,Q9CU65,Zinc finger MYM-type protein 2,Zmym2,,154.64,3,12,4,4,12.34448624,13.13478565,12.09538555,11.97878551,13.44588566,13.58428574,12.86768627
+,1.34511273,-1.465874672,Q9CUX1,Q9CUX1,52 kDa repressor of the inhibitor of the protein kinase,Prkrir,,87.02,2,9,4,3,12.37038612,13.03998566,11.25678635,12.76408577,13.19328594,14.4343853,13.8433857
+,3.024868988,1.320533276,Q9CVB6,Q9CVB6,Actin-related protein 2/3 complex subunit 2,Arpc2,,34.357,16,12,4,4,19.88828659,20.0301857,19.42678642,19.77508545,18.70778656,18.42888641,18.24198532
+,2.314121238,-1.227267027,Q9CW03,Q9CW03,Structural mainte1000ce of chromosomes protein 3,Smc3,,141.55,16,12,4,4,15.43958569,15.78478527,15.29248524,15.21188545,16.86798477,16.94308662,16.16728592
,0.8192154596,0.5279416243,Q9CW46,Q9CW46,Ribonucleoprotein PTB-binding 1,Raver1,,79.381,4,9,4,3,14.55488586,14.53908539,13.48308563,14.0671854,13.7893858,13.68228531,13.42768574
,0.2804867952,-0.298274835,Q9CWI3,Q9CWI3,BRCA2 and CDKN1A-interacting protein,Bccip,,35.942,3,11,4,3,14.43348598,14.805686,13.38568592,14.12518597,15.0301857,13.99608612,14.43108559
,0.5996243334,1.348274946,Q9CWJ9,Q9CWJ9,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,Atic,,64.217,9,12,4,4,14.5994854,14.56388569,14.77148533,15.00018597,15.81078529,11.76848602,12.57718563
+,2.650782674,-1.935599645,Q9CWK3,Q9CWK3,CD2 antigen cytoplasmic tail-binding protein 2,Cd2bp2,,37.694,4,11,4,3,15.67028522,15.88848591,15.26838589,15.87478542,18.15618515,17.70958519,16.96748543
+,3.571617457,-1.691883485,Q9CWT6,Q9CWT6,Probable ATP-dependent RNA helicase DDX28,Ddx28,,59.514,9,12,4,4,15.91278553,16.22328568,15.79768562,15.63118553,17.80348587,17.60768509,17.33818626
,0,-3.739933014,Q9CWV1,Q9CWV1,DNA helicase MCM8,Mcm8,,92.37,2,7,1,3,9.876686096,NaN,NaN,NaN,14.50458527,13.49048615,12.85478592
,0.7904491113,-1.20179979,Q9CWW7,Q9CWW7,CXXC-type zinc finger protein 1,Cxxc1,,76.166,5,11,4,3,15.1079855,14.72428608,14.00998592,14.06208611,16.66778564,16.25198555,14.11388588
+,2.147195373,-1.87823391,Q9CWX4,Q9CWX4,RNA pseudouridylate synthase domain-containing protein 4,Rpusd4,,42.407,8,11,4,3,15.46108532,16.40268517,15.92028522,14.85508537,17.78208542,17.71338654,17.11858559
+,3.412329933,-1.623558521,Q9CWX9,Q9CWX9,Probable ATP-dependent RNA helicase DDX47,Ddx47,,50.638,18,12,4,4,19.439785,19.74728584,19.33748627,19.27048492,20.99788666,21.40688515,20.81218529
+,1.859100063,-1.562817415,Q9CWZ3,Q9CWZ3,RNA-binding protein 8A,Rbm8a,,19.889,5,12,4,4,19.09178543,19.95798492,18.64338493,19.34418488,21.34728622,20.87838554,20.2407856
+,2.219795237,-1.841199875,Q9CX11,Q9CX11,rRNA-processing protein UTP23 homolog,Utp23,,28.38,5,12,4,4,17.76408577,19.18948555,18.04478645,18.38078499,20.28178596,20.48338509,19.79278564
,0.06802855593,0.05635786057,Q9CX48,Q9CX48,Zinc finger CCHC domain-containing protein 10,Zcchc10,,19.147,1,11,4,3,17.2142849,16.3059864,17.29818535,17.23878479,16.79678535,16.92918587,17.14788628
+,3.230823209,-1.307208379,Q9CX86,Q9CX86,Heterogeneous nuclear ribonucleoprotein A0,Hnrnpa0,,30.53,8,12,4,4,20.68528557,20.47508621,21.0308857,20.57118607,21.8596859,22.21108627,21.92268562
+,1.095627502,-1.309500297,Q9CX97,Q9CX97,WD repeat-containing protein 55,Wdr55,,42.61,4,11,4,3,15.70888615,16.65418625,14.34458542,15.93388557,17.29598618,17.04438591,16.56928635
,0,-0.6762492657,Q9CXE7,Q9CXE7,Transmembrane emp24 domain-containing protein 5,Tmed5,,26.172,1,7,4,1,13.804986,12.46308613,13.05058575,13.26428604,13.82198524,NaN,NaN
+,1.929852282,-2.257658879,Q9CXG3,Q9CXG3,Peptidyl-prolyl cis-trans isomerase-like 4,Ppil4,,57.23,9,12,4,4,15.63238525,16.66768646,14.55318546,15.20018578,18.18448639,17.94708633,17.18148613
+,1.989568414,-1.709992409,Q9CXG9,Q9CXG9,PHD finger protein 19,Phf19,,65.235,6,11,4,3,14.84038544,16.35878563,15.36848545,15.80458546,17.7448864,16.98348618,17.18078613
+,1.305620246,-1.048441728,Q9CXK8,Q9CXK8,60S ribosome subunit biogenesis protein NIP7 homolog,Nip7,,20.451,9,12,4,4,19.85428619,20.51078606,19.98678589,19.94818497,21.53718567,21.58628654,20.2468853
,0.2532072822,0.2028583686,Q9CXK9,Q9CXK9,RNA-binding protein 33,Rbm33,,137.32,2,11,4,3,12.24308586,13.11768627,12.25288582,11.92518616,12.20978546,12.40278625,11.93298626
+,2.850372502,-2.129765828,Q9CXL3,Q9CXL3,Uncharacterized protein C7orf50 homolog,,,22.168,7,12,4,4,18.25828552,18.72848511,17.62968636,18.04148674,20.43948555,20.60818481,19.83508492
+,2.727840634,-1.202233791,Q9CXS4,Q9CXS4,Centromere protein V,Cenpv,,27.541,3,12,4,4,17.18228531,17.73968506,17.03578568,17.52818489,18.65498543,18.65078545,18.4153862
+,2.775062557,-1.742416143,Q9CXW2,Q9CXW2,"28S ribosomal protein S22, mitochondrial",Mrps22,,41.192,5,11,4,3,14.89788532,14.55198574,14.11408615,14.4061861,16.72288513,16.08368492,15.89828587
+,1.50877175,-1.161932945,Q9CXW3,Q9CXW3,Calcyclin-binding protein,Cacybp,,26.51,7,11,4,3,16.13808632,15.88418579,15.88788605,16.91698647,17.99568558,17.09588623,17.01458549
+,3.759032741,-1.582383474,Q9CXW4,Q9CXW4,60S ribosomal protein L11,Rpl11,,20.252,10,12,4,4,23.58978653,23.75818634,23.28418541,23.52958488,25.23928642,25.26498604,24.86418533
+,2.016471163,-1.571575642,Q9CXY6,Q9CXY6,Interleukin enhancer-binding factor 2,Ilf2,,43.062,16,12,4,4,20.19978523,20.96538544,19.48098564,19.78228569,21.61638641,21.83028603,21.58938599
,0.2588793462,-0.5818001429,Q9CY16,Q9CY16,"28S ribosomal protein S28, mitochondrial",Mrps28,,20.52,3,8,3,3,11.77938557,14.47388554,NaN,12.53628635,12.72818565,14.0016861,13.80508614
+,2.848373193,-1.883058389,Q9CY21,Q9CY21,Probable 18S rRNA (guanine-N(7))-methyltransferase,Wbscr22,,31.586,3,11,4,3,15.49908543,14.99888611,15.12148571,15.69598579,17.75008583,16.962286,16.92338562
,0.4809225199,-0.9480497837,Q9CY27,Q9CY27,Very-long-chain enoyl-CoA reductase,Tecr,,36.09,3,7,4,2,14.45078564,14.22558594,13.63268566,12.46748638,15.52228546,NaN,13.76208591
+,1.655582138,-1.726150513,Q9CY50,Q9CY50,Translocon-associated protein subunit alpha,Ssr1,,32.065,2,11,4,3,13.75458527,15.6381855,14.12458611,15.21718597,16.47998619,16.33138657,16.41798592
+,1.918857768,-1.656067212,Q9CY57,Q9CY57,Chromatin target of PRMT1 protein,Chtop,,26.585,5,12,4,4,20.37138557,21.26208496,20.09498596,20.07748604,22.32678604,22.5396862,21.45618629
+,2.360822779,-1.538758596,Q9CY58,Q9CY58,Plasminogen activator inhibitor 1 RNA-binding protein,Serbp1,,44.714,19,12,4,4,20.36258507,21.02718544,20.13838577,20.3548851,22.36188507,22.15218544,21.51448631
,0.1026184356,0.3831298351,Q9CY64,Q9CY64,Biliverdin reductase A,Blvra,,33.524,2,7,4,2,9.036306381,10.88358593,10.38188553,13.19598579,11.04120636,9.941415787,NaN
,1.000664563,-0.4061505,Q9CY66,Q9CY66,H/ACA ribonucleoprotein complex subunit 1,Gar1,,23.474,6,12,4,4,19.06378555,19.35148621,18.74318504,18.81448555,19.30018616,19.21958542,19.67838669
,0.580262033,-0.9139500459,Q9CY73,Q9CY73,"39S ribosomal protein L44, mitochondrial",Mrpl44,,37.527,2,11,4,3,13.57148552,13.45428562,13.91858578,14.8565855,15.32858562,13.41428566,15.84968567
+,1.978378236,-1.408433119,Q9CYA6,Q9CYA6,Zinc finger CCHC domain-containing protein 8,Zcchc8,,78.025,5,12,4,4,13.81438541,15.19588566,14.25018597,14.15068531,15.64788532,15.84048557,15.79528522
+,2.531547057,-1.838999589,Q9CYH6,Q9CYH6,Ribosome biogenesis regulatory protein homolog,Rrs1,,41.551,13,12,4,4,19.314785,19.92518616,18.80388641,18.91928673,21.31948662,21.22408485,20.69578552
+,1.993029689,-1.528567314,Q9CYI4,Q9CYI4,Putative RNA-binding protein Luc7-like 1,Luc7l,,43.934,10,12,4,4,16.56848526,17.68628502,16.47588539,16.81328583,18.524086,18.75288582,17.96668625
,0.1800161396,0.2942331632,Q9CYL5,Q9CYL5,Golgi-associated plant pathogenesis-related protein 1,Glipr2,,17.09,3,9,4,3,13.62748623,16.07528496,14.95928574,15.33068562,14.38498592,14.62848568,15.09838581
,0.05912524297,-0.05220842361,Q9CYN2,Q9CYN2,Signal peptidase complex subunit 2,Spcs2,,24.977,1,9,4,3,13.75218582,13.79938602,13.35928631,13.24958611,13.00328636,13.69688606,14.07678604
+,3.776479617,-1.614866892,Q9CYX7,Q9CYX7,RRP15-like protein,Rrp15,,31.058,3,12,4,4,17.58218575,17.62848663,17.81238556,17.84568596,19.28248596,19.06858635,19.64508629
,0.07624935576,-0.08007462819,Q9CZ13,Q9CZ13,"Cytochrome b-c1 complex subunit 1, mitochondrial",Uqcrc1,,52.851,3,11,4,3,13.9360857,14.94758606,14.22218609,14.10298538,15.01528549,14.09798527,14.03358555
,1.220109912,-0.7465751171,Q9CZ30,Q9CZ30,Obg-like ATPase 1,Ola1,,44.729,7,11,4,3,15.71318531,15.77928543,15.00658607,15.97258568,16.54348564,16.61718559,15.93278599
,0,-1.164633751,Q9CZ83,Q9CZ83,"39S ribosomal protein L55, mitochondrial",Mrpl55,,15.121,2,8,1,3,NaN,15.36108589,NaN,NaN,16.90718651,16.77098656,15.89898586
+,2.470522981,-3.022058964,Q9CZ91,Q9CZ91,Serum response factor-binding protein 1,Srfbp1,,48.745,3,11,4,3,13.96138573,15.43518543,14.14578533,13.72748566,17.76378632,17.77518654,16.47958565
+,2.143492415,-3.077108383,Q9CZ96,Q9CZ96,Zinc finger CCHC-type and RNA-binding motif-containing protein 1,Zcrb1,,24.583,1,10,4,3,14.10348606,14.66478539,14.01928616,12.66328621,17.85468674,17.1225853,15.84218597
+,2.520026048,-2.158883413,Q9CZD3,Q9CZD3,Glycine--tRNA ligase,Gars,,81.877,10,12,4,4,19.42198563,20.21898651,19.05388641,18.90608597,21.69358635,21.89458656,21.08918571
,0.2757564261,-0.622724692,Q9CZD5,Q9CZD5,"Translation initiation factor IF-3, mitochondrial",Mtif3,,31.739,2,11,4,3,14.97418594,16.25998497,14.67238617,15.16168594,13.91248608,16.93628502,16.82058525
+,2.371165179,-1.527941465,Q9CZI9,Q9CZI9,Apoptosis-enhancing nuclease,Aen,,37.309,5,11,4,3,15.56678581,15.8280859,15.15698528,15.20658588,17.51518631,16.87098503,16.51648521
+,2.945123038,-1.728391329,Q9CZJ1,Q9CZJ1,Probable U3 small nucleolar RNA-associated protein 11,Utp11l,,30.55,9,12,4,4,18.71578598,19.44778633,18.97928619,18.57698631,20.92168617,20.64598656,20.40738487
+,2.932532578,-2.162525177,Q9CZM2,Q9CZM2,60S ribosomal protein L15,Rpl15,,24.146,9,12,4,4,24.39488602,24.44758606,23.67748642,23.90668488,26.64388657,26.45278549,25.710886
+,1.039961868,-1.317883571,Q9CZN7,Q9CZN7,Serine hydroxymethyltransferase,Shmt2,,55.758,5,10,4,3,14.13428593,14.34668541,14.24948597,14.02568531,16.91658592,15.23678589,14.36738586
+,3.387119986,-2.025525411,Q9CZT6,Q9CZT6,Protein CMSS1,Cmss1,,31.593,5,12,4,4,17.22888565,17.05548477,16.91598511,16.35148621,19.04268646,19.00728607,18.690485
+,3.28526771,-1.818950017,Q9CZU3,Q9CZU3,Superkiller viralicidic activity 2-like 2,Skiv2l2,,117.64,23,12,4,4,16.79288483,17.07418633,16.27128601,16.71178627,18.76878548,18.54768562,18.27798653
+,2.708176108,-2.354492188,Q9CZU4,Q9CZU4,"GTPase Era, mitochondrial",Eral1,,48.186,9,11,4,3,19.04608536,19.51438522,18.6313858,18.36558533,21.76348495,21.29548645,20.67258644
,0.4886976393,-0.4122334321,Q9CZW4,Q9CZW4,Long-chain-fatty-acid--CoA ligase 3,Acsl3,,80.491,8,11,4,3,15.94948578,16.46998596,15.35098553,15.33548546,16.61128616,16.16028595,15.79458523
+,2.127184227,-1.251175404,Q9CZX0,Q9CZX0,Elongator complex protein 3,Elp3,,62.384,12,12,4,4,16.71398544,17.45898628,16.48808479,16.47538567,18.20558548,18.06648636,17.83378601
+,1.669167236,-1.450149854,Q9CZX5,Q9CZX5,PIN2/TERF1-interacting telomerase inhibitor 1,Pinx1,,37.22,6,12,4,4,18.57378578,19.15228653,18.10598564,18.13048553,20.40298653,20.26198578,19.15738487
+,2.633467246,-1.892899513,Q9CZX8,Q9CZX8,40S ribosomal protein S19,Rps19,,16.085,9,12,4,4,22.46408653,22.80528641,21.9282856,21.72748566,24.21348572,24.399786,23.75928497
+,1.859878704,-1.161291281,Q9D024,Q9D024,Coiled-coil domain-containing protein 47,Ccdc47,,55.843,4,11,4,3,14.50828552,15.62558556,14.60988617,14.88648605,16.05558586,16.26788521,15.88308525
+,2.100349335,1.131233374,Q9D051,Q9D051,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Pdhb,,38.937,4,11,4,3,14.51098537,15.35908604,15.08098602,14.94088554,14.11338615,13.94638538,13.46548557
,0.8268015251,-0.8277508418,Q9D0B0,Q9D0B0,Serine/arginine-rich splicing factor 9,Srsf9,,25.661,8,12,4,4,16.88308525,18.6082859,17.33918571,17.22078514,18.67778587,18.43538666,17.9085865
+,1.937586077,-1.313133637,Q9D0D3,Q9D0D3,"Poly(A) RNA polymerase, mitochondrial",Mtpap,,65.229,7,11,4,3,15.70708561,14.42458534,14.70458603,15.02248573,16.37788582,16.38388634,16.07168579
+,4.404184687,-1.526558081,Q9D0D4,Q9D0D4,Probable dimethyladenosine transferase,Dimt1,,35.274,12,12,4,4,19.39848518,19.46458626,19.3766861,19.34288597,20.78718567,20.79768562,21.18178558
+,1.790094504,-2.441550255,Q9D0D5,Q9D0D5,General transcription factor IIE subunit 1,Gtf2e1,,49.593,6,11,4,3,14.27198601,12.81328583,12.20188618,14.05218601,16.37848663,15.99468613,14.95598602
+,2.296451876,-1.419058482,Q9D0E1;Q91VC4,Q9D0E1,Heterogeneous nuclear ribonucleoprotein M,Hnrnpm,,77.648,32,12,4,4,21.90738487,22.35988617,21.37928581,21.60568619,23.45828629,23.38878632,22.84928513
,0.07589618961,-0.1807751656,Q9D0F1,Q9D0F1,Kinetochore protein NDC80 homolog,Ndc80,,73.961,3,10,4,3,12.86478615,13.24538612,12.46198559,11.50348568,13.78248596,13.32608604,10.99048615
+,1.998415045,-1.542200327,Q9D0F4;Q5SZT7,Q9D0F4;Q5SZT7,NF-kappa-B-activating protein,Nkap;Nkapl,,47.227,4,11,4,3,16.77308655,15.84908581,16.22278595,16.52178574,18.48228645,17.93378639,17.23558617
+,2.426107318,-1.432475408,Q9D0F6,Q9D0F6,Replication factor C subunit 5,Rfc5,,38.096,11,12,4,4,17.92398643,18.74868584,17.88238525,17.7801857,19.5165863,19.70858574,19.3236866
+,2.336549235,-1.723483165,Q9D0G0,Q9D0G0,"28S ribosomal protein S30, mitochondrial",Mrps30,,49.939,4,11,4,3,14.37088585,13.47518635,14.42958546,14.04248524,16.38098526,15.51638603,15.51168537
+,3.017069188,-1.692724546,Q9D0I8,Q9D0I8,mRNA turnover protein 4 homolog,Mrto4,,27.545,12,12,4,4,20.27738571,20.74378586,20.07168579,20.1653862,22.33148575,22.0539856,21.63638496
+,2.586435314,-1.129833062,Q9D0I9,Q9D0I9,"Arginine--tRNA ligase, cytoplasmic",Rars,,75.673,20,12,4,4,17.10698509,17.59288597,16.9955864,17.10328484,18.54978561,18.40268517,18.03608513
+,2.781008623,-1.242666483,Q9D0L8,Q9D0L8,mRNA cap guanine-N7 methyltransferase,Rnmt,,53.291,8,12,4,4,14.710886,14.78658581,14.36928558,14.42918587,16.19948578,15.58278561,15.66768551
+,2.695449093,-1.479500294,Q9D0M0,Q9D0M0,Exosome complex exonuclease RRP42,Exosc7,,31.825,10,11,4,3,17.33238602,17.60438538,17.17478561,16.76278496,18.57588577,19.03148651,18.48688507
,1.007716644,-0.6354335149,Q9D0M1,Q9D0M1,Phosphoribosyl pyrophosphate synthase-associated protein 1,Prpsap1,,39.431,9,12,4,4,15.85318565,16.78748512,16.55578613,16.3650856,16.79978561,17.51948547,16.75818634
,0.4387756848,-0.4121251106,Q9D0M3,Q9D0M3,"Cytochrome c1, heme protein, mitochondrial",Cyc1,,35.327,6,11,4,3,17.11128616,17.9289856,16.46998596,17.08878517,17.31988525,18.06978607,17.29598618
,0.9054058884,-0.8313414256,Q9D0N7,Q9D0N7,Chromatin assembly factor 1 subunit B,Chaf1b,,63.131,3,11,4,4,13.09178638,14.2716856,13.27638626,13.586586,15.15468597,14.16508579,13.84408569
,0.7842973966,-0.4869586627,Q9D0R2,Q9D0R2,"Threonine--tRNA ligase, cytoplasmic",Tars,,83.355,7,12,4,4,14.79608536,14.72128582,14.29208565,14.23278522,15.42918587,15.12518597,14.43818569
+,2.200401665,-1.496341705,Q9D0R4,Q9D0R4,Probable ATP-dependent RNA helicase DDX56,Ddx56,,61.211,20,12,4,4,18.86768532,19.28348541,18.58828545,18.26298523,20.47968483,20.51648521,19.74468613
+,2.354353183,-1.778799852,Q9D0R8,Q9D0R8,Protein LSM12 homolog,Lsm12,,21.701,5,12,4,4,18.41218567,19.41918564,18.39698601,18.44758606,20.80368614,20.57118607,19.96848488
,0.04971865256,0.08946625392,Q9D0T1,Q9D0T1,"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed",Nhp2l1,,14.173,4,12,4,4,18.86938667,20.22588539,18.90678596,18.90388489,19.54858589,19.87078667,17.99168587
,0.5646962544,0.7070084413,Q9D154;Q8VHP7,Q9D154,Leukocyte elastase inhibitor A,Serpinb1a,,42.574,5,11,4,3,15.68208599,15.31378555,15.866786,15.4659853,15.48568535,13.54918575,15.59058571
+,1.152991353,-1.594557444,Q9D198,Q9D198,Pre-mRNA-splicing factor SYF2,Syf2,,28.712,7,12,4,4,18.41138649,17.87428665,18.99368668,17.17968559,20.67048645,18.53468513,19.92278481
+,2.379782214,-2.048591614,Q9D1C9,Q9D1C9,Ribosomal RNA-processing protein 7 homolog A,Rrp7a,,32.399,13,12,4,4,18.6368866,19.56088638,18.17648506,18.59158516,21.05588531,21.05688667,20.25738525
,1.01931078,-0.5741082827,Q9D1G1,Q9D1G1,Ras-related protein Rab-1B,Rab1b,,22.187,3,11,4,3,13.73988533,13.03708553,13.45268631,14.07598591,14.39518547,14.02458572,14.03178596
,0.1467712528,0.4645665487,Q9D1H7,Q9D1H7,Golgi to ER traffic protein 4 homolog,Get4,,36.525,2,10,3,3,14.05558586,15.17098522,11.21828556,NaN,13.05538559,12.94648552,13.04928589
,0.1459772368,-0.2053999106,Q9D1I6,Q9D1I6,"39S ribosomal protein L14, mitochondrial",Mrpl14,,15.874,2,11,4,3,16.51688576,15.82558537,17.11688614,17.40458488,16.47198486,16.57968521,17.71248627
+,1.855278338,-1.41698281,Q9D1N9,Q9D1N9,"39S ribosomal protein L21, mitochondrial",Mrpl21,,23.366,7,12,4,4,17.9221859,18.2604866,16.9146862,17.87878609,19.38718605,19.34278488,18.75308609
+,2.814065757,2.458894968,Q9D1P4,Q9D1P4,Cysteine and histidine-rich domain-containing protein 1,Chordc1,,37.35,2,9,4,3,13.46568584,13.60788631,13.21048546,13.23178577,11.73518562,10.84356594,10.18144608
