Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Peptides,Valid values,Valid values 60 min,Valid values unstim,60 min stim FG159 neu,60 min stim FG160 neu,60 min stim FG161 neu,60 min stim FG162 neu,unstim FG10 neu,unstim FG11 neu,unstim FG12 neu,unstim FG9 neu
,0,0.0557756424,Q9QXB9,Q9QXB9,Developmentally-regulated GTP-binding protein 2,Drg2,,5,5,4,1,13.55410004,14.55980015,13.78900051,14.52420044,NaN,14.05099964,NaN,NaN
,0,1.497040033,Q9QXK3,Q9QXK3,Coatomer subunit gamma-2,Copg2,,7,5,4,1,10.67990017,10.23352051,12.67210007,12.29500008,NaN,NaN,NaN,9.973090172
,0.791606023,-0.6680002213,Q9QXK7,Q9QXK7,Cleavage and polyadenylation specificity factor subunit 3,Cpsf3,,22,8,4,4,16.62209892,18.09390068,17.83589935,18.37649918,18.01539993,18.40329933,18.80550003,18.37619972
+,2.554262614,3.354774952,Q9QXL1;Q9QXL2,Q9QXL1,Kinesin-like protein KIF21B,Kif21b,,25,7,4,3,16.03479958,16.57430077,16.0095005,16.56169891,11.99660015,12.51910019,NaN,14.30519962
,0,NaN,Q9QXM1,Q9QXM1,Junction-mediating and -regulatory protein,Jmy,,3,4,4,0,11.92870045,12.53639984,11.99670029,13.42560005,NaN,NaN,NaN,NaN
+,4.636627187,-2.512600422,Q9QXN3,Q9QXN3,Activating signal cointegrator 1,Trip4,,15,8,4,4,14.57419968,14.60439968,15.27079964,15.22119999,17.30739975,17.5883007,17.21730042,17.6079998
,0,1.066875219,Q9QXP6,Q9QXP6,E3 ubiquitin-protein ligase makorin-1,Mkrn1,,2,5,4,1,14.81290054,14.17780018,14.27320004,13.82120037,NaN,NaN,NaN,13.20440006
,1.50313069,-0.6191248894,Q9QXS1,Q9QXS1,Plectin,Plec,,308,8,4,4,21.15729904,22.10960007,21.89030075,21.96660042,22.32029915,22.3178997,22.38240051,22.57970047
,0.1025332573,0.2299246788,Q9QXT1,Q9QXT1,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide,Dapp1,,2,6,4,2,13.97230053,14.95190048,12.82209969,15.16619968,NaN,13.89290047,NaN,14.10350037
+,3.625206586,-2.831807454,Q9QXV1,Q9QXV1,Chromobox protein homolog 8,Cbx8,,14,7,3,4,13.32330036,13.52649975,NaN,14.14630032,17.00149918,16.40799904,16.47929955,16.09989929
,0.02224353219,0.1453331312,Q9QXV3,Q9QXV3,Inhibitor of growth protein 1,Ing1,,4,5,2,3,NaN,NaN,14.54759979,12.72539997,11.08829975,NaN,16.44309998,12.94210052
+,2.247955565,-4.555699348,Q9QXW0,Q9QXW0,F-box/LRR-repeat protein 6,Fbxl6,,8,6,2,4,11.83269978,NaN,13.98480034,NaN,18.07379913,16.45949936,17.71229935,17.61219978
+,3.729720548,-4.10747385,Q9QXX8,Q9QXX8,Nuclear fragile X mental retardation-interacting protein 1,Nufip1,,10,8,4,4,12.86530018,14.53200054,14.55440044,12.92380047,17.86669922,17.33519936,18.03999901,18.06349945
,0.07751248478,0.02555012703,Q9QXZ0,Q9QXZ0,Microtubule-actin cross-linking factor 1,Macf1,,88,8,4,4,14.30029964,14.22179985,14.28390026,14.56570053,14.16860008,14.26939964,14.24940014,14.58209991
,0.590676168,-0.3395001888,Q9QY06,Q9QY06,Unconventional myosin-IXb,Myo9b,,35,8,4,4,15.19089985,14.69750023,15.15240002,15.57159996,15.08300018,15.28100014,15.59039974,16.01600075
,1.14701758,-1.186074972,Q9QYA2,Q9QYA2,Mitochondrial import receptor subunit TOM40 homolog,Tomm40,,3,8,4,4,14.10509968,13.82260036,15.65560055,13.83189964,16.28310013,14.73320007,15.64369965,15.49950027
+,3.657068264,5.277761936,Q9QYB1,Q9QYB1,Chloride intracellular channel protein 4,Clic4,,6,7,4,3,15.48169994,17.09609985,15.32730007,15.6352005,11.25,10.15958977,10.4123497,NaN
+,5.158483153,3.367449284,Q9QYB5,Q9QYB5,Gamma-adducin,Add3,,18,8,4,4,18.35709953,19.14920044,18.58589935,19.17919922,15.46510029,15.13650036,15.55730057,15.6427002
+,3.665163295,2.968174458,Q9QYC0,Q9QYC0,Alpha-adducin,Add1,,21,8,4,4,18.34639931,19.60179901,19.04419899,19.90139961,16.19689941,15.84350014,16.51079941,16.46990013
,0,NaN,Q9QYF1,Q9QYF1,Retinol dehydrogenase 11,Rdh11,,3,4,4,0,15.70740032,19.71520042,19.12610054,16.02960014,NaN,NaN,NaN,NaN
,0.1901825896,-0.1992499828,Q9QYH6,Q9QYH6,Melanoma-associated antigen D1,Maged1,,6,8,4,4,15.10900021,15.76780033,14.30160046,16.1257,15.7809,15.50020027,15.47300053,15.34700012
,0.7870837871,-0.3231749535,Q9QYI3,Q9QYI3,DnaJ homolog subfamily C member 7,Dnajc7,,9,8,4,4,15.09739971,15.94379997,15.64280033,15.84720039,15.76970005,15.98709965,15.93470001,16.13240051
,0.2587891892,0.1882500648,Q9QYI4,Q9QYI4,DnaJ homolog subfamily B member 12,Dnajb12,,1,8,4,4,12.38389969,13.26449966,12.73130035,13.29710007,13.24489975,12.63949966,12.76580048,12.27359962
,1.516629004,-0.9677996635,Q9QYJ0,Q9QYJ0,DnaJ homolog subfamily A member 2,Dnaja2,,15,8,4,4,18.64360046,19.21409988,20.14590073,19.20190048,20.61980057,19.92210007,20.33289909,20.20190048
+,2.774726772,-3.400824785,Q9QYL7,Q9QYL7,Activator of basal transcription 1,Abt1,,5,7,3,4,10.62330055,12.40849972,NaN,12.47350025,14.87629986,15.28209972,15.03569984,15.74960041
+,1.641309239,-1.166400433,Q9QYS9,Q9QYS9,Protein quaking,Qki,,3,8,4,4,14.83759975,14.86439991,14.27820015,14.7645998,15.36450005,16.25690079,15.14099979,16.64800072
,0,NaN,Q9QZ06,Q9QZ06,Toll-interacting protein,Tollip,,1,4,4,0,14.65530014,15.88199997,15.1807003,16.40729904,NaN,NaN,NaN,NaN
+,2.362752,-3.414674997,Q9QZ11,Q9QZ11,Exonuclease 1,Exo1,,3,6,2,4,NaN,NaN,9.911299706,11.13899994,14.27719975,13.94579983,13.09399986,14.44229984
,0,NaN,Q9QZ67,Q9QZ67,Protein phosphatase 1D,Ppm1d,,5,4,0,4,NaN,NaN,NaN,NaN,12.60509968,13.20460033,13.78999996,13.15219975
+,3.480947962,2.445849895,Q9QZB7,Q9QZB7,Actin-related protein 10,Actr10,,10,8,4,4,17.10860062,16.2364006,17.3383007,16.55859947,13.90270042,14.11120033,14.57480049,14.86980057
+,2.136175722,1.090000153,Q9QZD4,Q9QZD4,DNA repair endonuclease XPF,Ercc4,,14,8,4,4,13.9197998,14.9484005,14.9296999,14.43550014,13.56229973,13.43710041,13.13969994,13.73429966
,0,NaN,Q9QZD8,Q9QZD8,Mitochondrial dicarboxylate carrier,Slc25a10,,4,4,0,4,NaN,NaN,NaN,NaN,17.47380066,16.17829895,16.56990051,17.16989899
,0.2728571803,-0.1868247986,Q9QZD9,Q9QZD9,Eukaryotic translation initiation factor 3 subunit I,Eif3i,,16,8,4,4,17.52499962,18.51099968,17.99939919,18.19960022,18.478899,17.84059906,18.65880013,18.00399971
,0.5046226285,-0.2928500175,Q9QZE5,Q9QZE5,Coatomer subunit gamma-1,Copg1,,27,8,4,4,16.05170059,16.80699921,16.74300003,16.81349945,16.99489975,16.33169937,17.15209961,17.10790062
+,4.216996193,4.448999564,Q9QZF2,Q9QZF2,Glypican-1;Secreted glypican-1,Gpc1,,13,7,4,3,18.26950073,19.17759895,18.98559952,18.43330002,NaN,14.56280041,13.6675005,14.57219982
,0.04091021208,-0.06793355942,Q9QZH3,Q9QZH3,Peptidyl-prolyl cis-trans isomerase E,Ppie,,7,7,4,3,15.2947998,14.20899963,15.87059975,16.44440079,NaN,15.37120056,15.45479965,15.74190044
,0.002316033905,-0.002274990082,Q9QZL0,Q9QZL0,Receptor-interacting serine/threonine-protein kinase 3,Ripk3,,8,8,4,4,15.2954998,16.38529968,16.69960022,16.21629906,16.11450005,16.11229897,15.88240051,16.4965992
+,2.872691111,-1.487175941,Q9QZQ8;Q8CCK0,Q9QZQ8,Core histone macro-H2A.1,H2afy,,13,8,4,4,16.70159912,17.80089951,16.98830032,17.63979912,18.6970005,18.71890068,18.81290054,18.85050011
,0.08794345007,0.2060248852,Q9QZV9,Q9QZV9,NTF2-related export protein 1,Nxt1,,2,8,4,4,16.09119987,15.5642004,14.67370033,17.68569946,15.64459991,17.44980049,15.10910034,14.98719978
,0,-0.06754970551,Q9QZW0,Q9QZW0,Phospholipid-transporting ATPase 11C,Atp11c,,5,5,4,1,12.94120026,13.94470024,13.37909985,13.82960033,13.59119987,NaN,NaN,NaN
+,3.005569874,-4.339692116,Q9R020,Q9R020,Zinc finger Ran-binding domain-containing protein 2,Zranb2,,5,7,3,4,12.13500023,NaN,10.93029976,13.41300011,16.92490005,16.48990059,16.45120049,16.13050079
+,3.836837709,-2.963525295,Q9R045,Q9R045,Angiopoietin-related protein 2,Angptl2,,15,8,4,4,13.9382,15.35529995,14.06400013,14.11730003,17.42700005,17.02020073,17.35230064,17.52939987
,0,NaN,Q9R060,Q9R060,Cytosolic Fe-S cluster assembly factor NUBP1,Nubp1,,2,4,4,0,13.53649998,13.68690014,12.48410034,13.87489986,NaN,NaN,NaN,NaN
,0,NaN,Q9R061,Q9R061,Cytosolic Fe-S cluster assembly factor NUBP2,Nubp2,,2,4,4,0,14.89920044,16.11149979,13.65569973,15.59160042,NaN,NaN,NaN,NaN
,0.2622866484,0.2325499058,Q9R099,Q9R099,Transducin beta-like protein 2,Tbl2,,7,8,4,4,15.01910019,15.73989964,14.8586998,15.28569984,14.53139973,15.74380016,14.4442997,15.25370026
+,1.876133762,-2.580899477,Q9R0B7,Q9R0B7,Zinc finger protein 346,Znf346,,5,6,2,4,NaN,14.42090034,NaN,13.38969994,16.5583992,16.90950012,16.99359894,15.48330021
,0,NaN,Q9R0C8,Q9R0C8,Guanine nucleotide exchange factor VAV3,Vav3,,5,4,4,0,12.31260014,14.28919983,12.8227005,12.18500042,NaN,NaN,NaN,NaN
,0.2456079387,0.3029997349,Q9R0I7,Q9R0I7,YLP motif-containing protein 1,Ylpm1,,11,8,4,4,13.46780014,13.57019997,13.28240013,14.92739964,14.32110023,13.5692997,12.70120049,13.44420052
+,3.567488076,-2.760924578,Q9R0L6,Q9R0L6,Pericentriolar material 1 protein,Pcm1,,15,8,4,4,12.15310001,13.12240028,12.09870052,13.21500015,15.29590034,15.18039989,15.14859962,16.00799942
,1.151966738,0.9929747581,Q9R0L7,Q9R0L7,A-kinase anchor protein 8-like,Akap8l,,8,8,4,4,15.70860004,15.79749966,15.63059998,17.44260025,14.99310017,15.25570011,15.45870018,14.89990044
,0.5585295662,0.4451751709,Q9R0N0,Q9R0N0,Galactokinase,Galk1,,8,8,4,4,16.62039948,18.00259972,17.52149963,18.29680061,17.05629921,17.21430016,17.07239914,17.31760025
+,1.570567292,3.474313895,Q9R0P3,Q9R0P3,S-formylglutathione hydrolase,Esd,,4,7,4,3,15.49690056,16.3390007,15.18700027,16.06710052,9.726559639,13.46969986,NaN,13.69830036
,0.7394439068,0.4128746986,Q9R0P5,Q9R0P5,Destrin,Dstn,,6,8,4,4,15.57299995,16.21800041,16.24209976,16.36019897,15.34560013,16.16819954,15.33040047,15.89760017
,0,NaN,Q9R0P6,Q9R0P6,Signal peptidase complex catalytic subunit SEC11A,Sec11a,,4,4,4,0,15.57480049,17.02899933,15.05669975,16.76339912,NaN,NaN,NaN,NaN
,0,NaN,Q9R0Q3,Q9R0Q3,Transmembrane emp24 domain-containing protein 2,Tmed2,,3,4,4,0,14.72780037,15.59520054,15.48499966,14.2347002,NaN,NaN,NaN,NaN
+,3.435130974,-5.0160501,Q9R0Q4,Q9R0Q4,Mortality factor 4-like protein 2,Morf4l2,,10,8,4,4,11.61709976,14.53810024,14.03559971,14.27570057,18.88640022,18.26169968,18.99200058,18.3906002
+,3.691241835,5.395899773,Q9R0Q6,Q9R0Q6,Actin-related protein 2/3 complex subunit 1A,Arpc1a,,16,8,4,4,18.66609955,19.77630043,19.32390022,19.80049896,14.33049965,12.16709995,14.59770012,14.88790035
+,1.00124705,1.975450039,Q9R0Q7,Q9R0Q7,Prostaglandin E synthase 3,Ptges3,,6,6,4,2,18.11149979,17.61100006,18.17740059,17.47310066,NaN,NaN,14.41969967,17.3159008
,1.548513739,-1.037549496,Q9R0U0,Q9R0U0,Serine/arginine-rich splicing factor 10,Srsf10,,8,8,4,4,18.86420059,18.89459991,19.95190048,19.15649986,19.56439972,20.16300011,20.61129951,20.67869949
+,1.77084818,2.178059896,Q9R117,Q9R117,Non-receptor tyrosine-protein kinase TYK2,Tyk2,,9,7,4,3,13.63080025,13.77490044,14.02859974,14.29749966,12.47440052,12.45580006,NaN,10.3344698
,0.2651155414,-0.1840500832,Q9R190,Q9R190,Metastasis-associated protein MTA2,Mta2,,21,8,4,4,16.83110046,17.75040054,16.80679893,17.68519974,17.68969917,17.12409973,17.50460052,17.49130058
,0.6667175829,-0.4839249452,Q9R1C0,Q9R1C0,Transcription initiation factor TFIID subunit 7,Taf7,,2,7,4,3,12.39610004,13.09920025,12.37339973,12.36880016,13.66289997,12.60389996,NaN,12.86310005
,0.05395544886,0.07387518883,Q9R1C6,Q9R1C6,Diacylglycerol kinase epsilon,Dgke,,4,8,4,4,14.37619972,15.66650009,16.00320053,16.40500069,15.47939968,15.81070042,15.00030041,15.86499977
,0.2504646442,-0.1459755898,Q9R1C7;Q80W14,Q9R1C7,Pre-mRNA-processing factor 40 homolog A,Prpf40a,,22,8,4,4,17.01140022,17.68249893,17.81029892,17.71299934,17.4428997,17.45999908,18.06850052,17.82970047
,0,NaN,Q9R1J0,Q9R1J0,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",Nsdhl,,3,4,4,0,12.40799999,12.5017004,13.05650043,10.2842598,NaN,NaN,NaN,NaN
,0,NaN,Q9R1K5,Q9R1K5,Fizzy-related protein homolog,Fzr1,,4,4,0,4,NaN,NaN,NaN,NaN,14.22169971,14.09800053,14.9854002,14.79520035
+,0.8318659904,-2.308399916,Q9R1K9,Q9R1K9,Centrin-2,Cetn2,,3,6,2,4,NaN,12.32989979,15.1552,NaN,17.35960007,15.45779991,14.57079983,16.81559944
,0.1110079073,0.2300004959,Q9R1P0,Q9R1P0,Proteasome subunit alpha type-4,Psma4,,5,8,4,4,15.13669968,16.41580009,16.40130043,16.32719994,16.18869972,13.77099991,16.78019905,16.62109947
+,1.535451691,1.692224979,Q9R1P1,Q9R1P1,Proteasome subunit beta type-3,Psmb3,,6,6,4,2,14.7894001,15.66429996,16.24180031,15.49499989,13.46469975,NaN,NaN,14.24610043
+,0.7470211537,2.387279987,Q9R1P4,Q9R1P4,Proteasome subunit alpha type-1,Psma1,,5,6,4,2,13.77690029,14.24059963,13.63770008,13.41330051,9.022390366,NaN,NaN,13.73729992
,0,NaN,Q9R1Q9,Q9R1Q9,V-type proton ATPase subunit S1,Atp6ap1,,4,4,4,0,14.01230049,15.93449974,16.12619972,15.18400002,NaN,NaN,NaN,NaN
,0,NaN,Q9R1R2,Q9R1R2,Tripartite motif-containing protein 3,Trim3,,2,4,0,4,NaN,NaN,NaN,NaN,12.42490005,11.97239971,13.06690025,12.71469975
,0.148502023,0.2224752903,Q9R1T2,Q9R1T2,"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed",Sae1,,5,8,4,4,15.67710018,14.84280014,14.94620037,14.78540039,15.43610001,14.74590015,13.3835001,15.79609966
,0,NaN,Q9R1T4,Q9R1T4,Septin-6,6-Sep,,5,4,4,0,14.91499996,15.78359985,14.81169987,15.22259998,NaN,NaN,NaN,NaN
,0,NaN,Q9R1X4,Q9R1X4,Protein timeless homolog,Timeless,,4,4,4,0,10.36159992,11.6345005,10.54850006,11.99810028,NaN,NaN,NaN,NaN
,0,2.732800484,Q9R233,Q9R233,Tapasin,Tapbp,,6,5,4,1,14.76500034,15.09160042,15.39560032,15.625,NaN,NaN,NaN,12.48649979
+,3.628732081,2.053975105,Q9WTI7;O88329,Q9WTI7,Unconventional myosin-Ic,Myo1c,,59,8,4,4,22.19720078,23.4564991,22.9029007,22.77169991,20.63030052,20.78899956,20.8314991,20.86160088
+,1.59573164,-1.472550154,Q9WTJ4,Q9WTJ4,Flt3-interacting zinc finger protein 1,Fiz1,,5,8,4,4,15.15380001,16.05819893,13.83320045,15.42580032,16.85510063,16.69099998,16.72159958,16.09350014
+,1.184716009,1.710725069,Q9WTK5,Q9WTK5,Nuclear factor NF-kappa-B p100 subunit;Nuclear factor NF-kappa-B p52 subunit,Nfkb2,,10,8,4,4,13.37450027,12.99709988,14.98680019,14.65030003,13.56610012,11.11149979,12.99110031,11.49709988
,0.3948022277,-0.2700242996,Q9WTM5,Q9WTM5,RuvB-like 2,Ruvbl2,,23,8,4,4,18.67770004,19.78070068,19.05550003,19.86059952,19.44759941,19.47130013,19.7512989,19.78439903
,0,NaN,Q9WTR1,Q9WTR1,Transient receptor potential cation channel subfamily V member 2,Trpv2,,12,4,4,0,16.37879944,16.47940063,16.22089958,15.81750011,NaN,NaN,NaN,NaN
+,2.917853986,-1.295449734,Q9WTX2,Q9WTX2,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,Prkra,,6,8,4,4,17.37299919,17.83860016,17.32180023,18.24069977,19.02169991,18.82329941,18.98089981,19.12999916
,0,NaN,Q9WTX5,Q9WTX5,S-phase kinase-associated protein 1,Skp1,,6,4,4,0,15.93029976,18.36420059,15.40600014,15.50160027,NaN,NaN,NaN,NaN
,0.8634116569,-1.224100113,Q9WTX6,Q9WTX6,Cullin-1,Cul1,,16,8,4,4,14.15499973,15.65670013,12.37209988,14.82740021,15.74480057,15.21370029,15.23289967,15.71619987
+,0.7718811055,-1.849025011,Q9WTY1,Q9WTY1,Programmed cell death protein 7,Pdcd7,,4,7,3,4,12.49810028,15.22739983,16.66309929,NaN,17.08790016,15.84790039,17.69109917,15.95399952
+,1.489153887,-2.366449674,Q9WU40,Q9WU40,Inner nuclear membrane protein Man1,Lemd3,,3,5,3,2,9.302800179,NaN,9.895500183,10.95619965,NaN,12.47659969,12.35929966,NaN
+,1.539964221,1.737524748,Q9WU42,Q9WU42,Nuclear receptor corepressor 2,Ncor2,,3,8,4,4,12.43360043,13.99279976,12.93089962,14.61569977,12.32999992,11.84990025,12.10039997,10.74260044
,0,NaN,Q9WU56,Q9WU56,"tRNA pseudouridine synthase A, mitochondrial",Pus1,,3,4,4,0,11.51739979,12.79530048,11.34899998,13.31389999,NaN,NaN,NaN,NaN
+,4.143459405,-2.683549643,Q9WU62,Q9WU62,Inner centromere protein,Incenp,,17,8,4,4,13.81509972,14.72029972,13.9453001,14.14770031,16.35199928,16.80660057,17.29769897,16.90629959
+,3.146629279,-1.362100601,Q9WU78,Q9WU78,Programmed cell death 6-interacting protein,Pdcd6ip,,9,8,4,4,15.59130001,16.48539925,15.91639996,16.33749962,17.52449989,17.29380035,17.58950043,17.37120056
,1.692530672,-0.9760255814,Q9WUA2,Q9WUA2,Phenylalanine--tRNA ligase beta subunit,Farsb,,27,8,4,4,18.22360039,19.52129936,18.56040001,19.18449974,20.06200027,19.6480999,19.98940086,19.69440079
,0.1391692496,-0.07197523117,Q9WUA3,Q9WUA3,"ATP-dependent 6-phosphofructokinase, platelet type",Pfkp,,30,8,4,4,19.77459908,20.28680038,20.49279976,20.52440071,20.14410019,20.24880028,20.41500092,20.55859947
,0.3721687028,0.434991916,Q9WUB0,Q9WUB0,RanBP-type and C3HC4-type zinc finger-containing protein 1,Rbck1,,2,7,3,4,NaN,14.56260014,12.68930054,13.99830055,13.43330002,12.90560055,13.65470028,13.26669979
,0,0.3513000011,Q9WUD1,Q9WUD1,STIP1 homology and U box-containing protein 1,Stub1,,4,5,4,1,13.57680035,14.32680035,14.14309978,13.24970055,NaN,NaN,NaN,13.47280025
+,1.614010971,-1.66002512,Q9WUK2,Q9WUK2,Eukaryotic translation initiation factor 4H,Eif4h,,5,8,4,4,16.58819962,15.75549984,14.95680046,15.14280033,17.71590042,16.65010071,16.4993,18.21809959
,1.152666455,-1.217224598,Q9WUK4,Q9WUK4,Replication factor C subunit 2,Rfc2,,14,8,4,4,16.16810036,18.38409996,16.54829979,17.86509895,18.43739891,18.11019897,18.93079948,18.35610008
,0,NaN,Q9WUL7,Q9WUL7,ADP-ribosylation factor-like protein 3,Arl3,,1,4,4,0,12.60589981,13.59189987,13.44560051,13.84560013,NaN,NaN,NaN,NaN
+,4.184413587,1.941875458,Q9WUM3,Q9WUM3,Coronin-1B,Coro1b,,18,8,4,4,21.50489998,21.90010071,21.33670044,22.06459999,19.80249977,19.54059982,19.66919899,20.0265007
+,4.04974257,2.255625725,Q9WUM4;Q920M5,Q9WUM4,Coronin-1C,Coro1c,,23,8,4,4,24.07250023,25.02219963,24.64870071,25.06850052,22.37689972,22.29089928,22.46179962,22.65979958
+,2.200593236,-1.38637495,Q9WUM5,Q9WUM5,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",Suclg1,,5,8,4,4,16.16889954,17.51079941,16.64789963,17.32640076,18.39749908,17.9008007,18.46319962,18.43799973
,0.07648667974,0.3292237123,Q9WUN2,Q9WUN2,Serine/threonine-protein kinase TBK1,Tbk1,,3,7,3,4,11.13930035,NaN,13.69490051,13.57159996,9.025939941,13.8185997,13.75889969,13.28740025
,0,NaN,Q9WUP7,Q9WUP7,Ubiquitin carboxyl-terminal hydrolase isozyme L5,Uchl5,,2,4,4,0,12.86299992,13.46810055,14.80749989,15.71510029,NaN,NaN,NaN,NaN
,0.8798342925,0.5505750179,Q9WUT3,Q9WUT3,Ribosomal protein S6 kinase alpha-2,Rps6ka2,,15,8,4,4,15.55449963,14.96810055,15.97480011,14.93620014,15.31290054,14.65649986,14.39949989,14.86240005
,0,NaN,Q9WUU8,Q9WUU8,TNFAIP3-interacting protein 1,Tnip1,,4,4,4,0,14.09249973,14.1892004,14.76010036,15.24250031,NaN,NaN,NaN,NaN
+,4.077064574,-2.582424879,Q9WUU9,Q9WUU9,Germinal-center associated nuclear protein,Mcm3ap,,9,8,4,4,10.81900024,10.93809986,11.30200005,10.23250008,13.67959976,13.09840012,13.6953001,13.14799976
+,1.337457594,-2.381307602,Q9WUV0,Q9WUV0,Origin recognition complex subunit 5,Orc5,,4,8,4,4,9.480899811,10.61087036,13.55430031,12.4229002,14.47780037,13.20960045,13.78450012,14.12230015
+,3.620264881,-2.223700047,Q9WV02,Q9WV02,"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed",Rbmx,,20,8,4,4,15.30900002,15.26609993,15.15789986,16.37170029,17.73550034,17.73589897,17.67020035,17.85790062
+,4.567537889,3.269424915,Q9WV32,Q9WV32,Actin-related protein 2/3 complex subunit 1B,Arpc1b,,18,8,4,4,23.65769958,24.63089943,23.60160065,24.59799957,20.76110077,20.86940002,20.87409973,20.90589905
,1.52718785,0.6789498329,Q9WV55,Q9WV55,Vesicle-associated membrane protein-associated protein A,Vapa,,2,8,4,4,16.0121994,16.77330017,15.94330025,16.29699898,15.4907999,15.33699989,15.4744997,16.00769997
+,2.203024026,-2.029283444,Q9WV60,Q9WV60,Glycogen synthase kinase-3 beta,Gsk3b,,4,7,4,3,12.82699966,13.33380032,12.12059975,13.42840004,NaN,14.48600006,15.58950043,14.79469967
+,1.840829763,-2.488475084,Q9WV70,Q9WV70,Nucleolar complex protein 2 homolog,Noc2l,,10,8,4,4,11.63850021,12.05589962,11.13679981,14.4307003,14.82940006,14.76350021,14.70650005,14.91639996
+,2.23314878,-1.630400658,Q9WVA3,Q9WVA3,Mitotic checkpoint protein BUB3,Bub3,,11,8,4,4,17.3409996,18.04909897,17.37559891,18.69980049,19.69079971,18.83530045,19.71170044,19.7493
,0.7893232888,-1.041400194,Q9WVF7,Q9WVF7,DNA polymerase epsilon catalytic subunit A,Pole,,11,8,4,4,12.99569988,11.61439991,12.10680008,11.87260056,14.16250038,11.81140041,12.64039993,14.14080048
,0.04001438654,-0.06957530975,Q9WVG6,Q9WVG6,Histone-arginine methyltransferase CARM1,Carm1,,9,8,4,4,14.94159985,15.23110008,16.66790009,16.71409988,16.45680046,15.04119968,16.70400047,15.63100052
+,0.9752489019,-3.357789993,Q9WVG9,Q9WVG9,Male-specific lethal 3 homolog,Msl3,,5,6,2,4,10.70489979,NaN,7.61303997,NaN,13.92990017,13.93959999,10.37123966,11.82629967
+,4.554686463,3.002049446,Q9WVJ2,Q9WVJ2,26S proteasome non-ATPase regulatory subunit 13,Psmd13,,8,8,4,4,16.56749916,16.74359894,16.37450027,15.92669964,13.95890045,13.24790001,13.3579998,13.03929996
+,1.456200583,-3.961729685,Q9WVK4,Q9WVK4,EH domain-containing protein 1,Ehd1,,4,6,3,3,8.079950333,9.961460114,12.20240021,NaN,13.79889965,13.4698,NaN,14.86030006
+,2.93984172,-1.381974697,Q9WVM1,Q9WVM1,Rac GTPase-activating protein 1,Racgap1,,23,8,4,4,17.84790039,18.8057003,18.06749916,18.5401001,19.95639992,19.52829933,19.58160019,19.7227993
,1.042931949,-0.8417248726,Q9WVR4,Q9WVR4,Fragile X mental retardation syndrome-related protein 2,Fxr2,,25,8,4,4,18.25359917,19.52090073,18.4095993,19.57670021,19.89929962,19.21199989,20.28989983,19.72649956
,0.015488226,0.02743339539,Q9Z0E0,Q9Z0E0,Neurochondrin,Ncdn,,4,7,4,3,11.79240036,11.22249985,12.77070045,11.83040047,NaN,11.22809982,12.96320057,11.43840027
+,1.664202741,-1.956424952,Q9Z0H1,Q9Z0H1,WD repeat-containing protein 46,Wdr46,,15,8,4,4,15.76469994,15.42590046,13.27880001,15.39820004,17.18650055,16.58609962,17.58230019,16.33839989
+,1.837478392,-1.318574667,Q9Z0H3,Q9Z0H3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,Smarcb1,,8,8,4,4,14.49380016,15.40320015,15.2215004,15.44079971,17.33740044,15.80920029,16.38139915,16.30559921
,0.7555884416,0.550224781,Q9Z0H4,Q9Z0H4,CUGBP Elav-like family member 2,Celf2,,9,8,4,4,17.26000023,18.78249931,18.416399,18.57130051,17.76510048,17.63069916,17.97850037,17.45499992
+,5.496891376,-2.834699631,Q9Z0N1;Q9Z0N2,Q9Z0N1;Q9Z0N2,"Eukaryotic translation initiation factor 2 subunit 3, X-linked;Eukaryotic translation initiation factor 2 subunit 3, Y-linked",Eif2s3x;Eif2s3y,,18,8,4,4,18.94109917,19.53079987,19.13470078,19.57089996,22.24489975,21.90139961,22.16259956,22.20739937
+,5.483745218,3.870124817,Q9Z0P5,Q9Z0P5,Twinfilin-2,Twf2,,15,8,4,4,19.45050049,19.87599945,19.04909897,19.95800018,15.44019985,15.6633997,15.80200005,15.94750023
+,6.264521566,-3.140649557,Q9Z0R0,Q9Z0R0,Serine/threonine-protein kinase haspin,Gsg2,,11,8,4,4,13.44560051,13.47140026,13.55210018,13.56869984,16.39349937,16.76119995,16.98760033,16.45809937
,0.5502606624,-0.374350071,Q9Z0R6,Q9Z0R6,Intersectin-2,Itsn2,,4,8,4,4,11.46880054,12.75580025,11.81690025,12.54559994,12.75790024,12.46440029,12.31210041,12.55010033
,0,1.193149805,Q9Z0U0,Q9Z0U0,Xenotropic and polytropic retrovirus receptor 1,Xpr1,,7,5,4,1,13.89599991,14.21469975,14.93200016,13.92710018,NaN,NaN,13.04930019,NaN
